categoryId,categoryName,view_count,likes,comment_count
1,Film & Animation,174258646,3165484,279016
2,Autos & Vehicles,27994819,194668,42021
10,Music,-2147483648,176875645,16135551
15,Pets & Animals,53092712,1040400,105417
17,Sports,298264323,4358660,651448
19,Travel & Events,56259840,1586241,124055
20,Gaming,116135609,3524340,341003
22,People & Blogs,448518050,14315144,910702
23,Comedy,226123360,8235367,527655
24,Entertainment,1272124885,31364118,2834190
25,News & Politics,198843468,2323686,554303
26,Howto & Style,112411470,2670951,125506
27,Education,128100268,507532,44825
28,Science & Technology,117209664,3399913,156988
29,Society & Issue,19310047,2277745,33698
