categoryId,categoryName,view_count,likes,comment_count
1,Film & Animation,85999694,1573026,321870
2,Autos & Vehicles,23049333,261014,65766
10,Music,1313156742,95155111,17901628
15,Pets & Animals,59641180,1029251,121466
17,Sports,183984008,2401945,355914
19,Travel & Events,26323860,305055,30006
20,Gaming,127880192,4298298,359975
22,People & Blogs,285460064,13589374,1321354
23,Comedy,123134272,2273221,449380
24,Entertainment,1143819866,39661197,3716476
25,News & Politics,150654559,4125074,516035
26,Howto & Style,70015926,1494358,146088
27,Education,41169058,924034,101972
28,Science & Technology,74933631,1216127,210538
29,Society & Issue,3490968,121676,8017
