categoryId,categoryName,view_count,likes,comment_count
1,Film & Animation,170505244,3519309,569453
2,Autos & Vehicles,89591410,1051625,118038
10,Music,-2147483648,270986479,36195280
15,Pets & Animals,92090949,1821416,182521
17,Sports,484099752,6091042,1045720
19,Travel & Events,25576066,425003,49558
20,Gaming,225233693,4553772,591902
22,People & Blogs,665006391,21900592,2800821
23,Comedy,385223687,15127443,1538160
24,Entertainment,-2147483648,77260686,7890655
25,News & Politics,398063657,6421910,1552387
26,Howto & Style,142401376,2632091,224423
27,Education,112354886,2293010,327377
28,Science & Technology,140747754,3683221,237662
29,Society & Issue,1631719,87733,10463
