tag,frequency
먹방,275
브이로그,194
요리,123
일상,88
국제커플,86
예능,66
쿡방,64
미스터트롯,58
커플브이로그,58
맛집,55
임영웅,55
자취,55
한일커플,55
국제연애,54
ASMR,53
korean,52
커플유튜브,52
히밥,52
koreanfood,50
백종원,46
