tag,frequency
먹방,750
kpop,492
예능,471
뉴스,378
브이로그,367
레전드,364
유재석,361
KBS,348
BTS,335
SBS,326
아이돌,308
손흥민,273
tvN,269
요리,259
코로나,238
강아지,226
축구,223
드라마,214
임영웅,213
놀면뭐하니,210
