tag,frequency
손흥민,252
토트넘,193
스포티비,183
축구,179
스포츠,101
프리미어리그,96
해외축구,90
무리뉴,75
이강인,72
도쿄올림픽,69
메시,62
골프,57
황희찬,54
케인,54
음바페,51
라리가,51
운동,49
골프스윙,46
PL,46
황의조,46
