tag,frequency
리그오브레전드,67
게임,57
fridaynightfunkin,30
만화,29
롤,28
배틀그라운드,28
어몽어스,28
웃긴,27
애니메이션,27
피파,27
game,25
메이플스토리,24
병맛,24
모바일게임,24
트위치,22
먹방,22
주식,21
용느,20
단타,20
maplestory,20
