tag,frequency
먹방,745
kpop,492
예능,469
뉴스,378
레전드,361
유재석,359
브이로그,346
KBS,343
BTS,334
SBS,323
아이돌,308
손흥민,273
tvN,269
요리,256
코로나,238
축구,223
드라마,214
임영웅,213
놀면뭐하니,208
웃긴영상,207
