region,hotel_id,hotel_name,hotel_link,hotel_img_link
부산,337,부산 비즈니스 호텔,https://www.booking.com/hotel/kr/busan-business-busan.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=d15b395f603b0249&srepoch=1645517376&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square200/48952770.webp?k=130e32862208176e1a5851d36bee1d47f6039924491427a6273cffb4aabf816e&o=&s=1
부산,338,ASTI Hotel Busan Station,https://www.booking.com/hotel/kr/asti-busan.ko.html?label=gen173nr-1DCAEoggI46AdIM1gEaH2IAQGYARe4AQfIAQzYAQPoAQGIAgGoAgO4AryJ15AGwAIB0gIkMjBlZTIxYmItYTA1NC00ZGI1LTg0NDAtY2I0ZjBhZTI5ZTlm2AIE4AIB&sid=23113aa8bd3e0dca8422b951892f998c&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-23&checkout=2022-02-24&dest_id=3670914&dest_type=hotel&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6c96268ef6830167&srepoch=1645594146&all_sr_blocks=367091433_195914215_0_2_0&highlighted_blocks=367091433_195914215_0_2_0&matching_block_id=367091433_195914215_0_2_0&sr_pri_blocks=367091433_195914215_0_2_0__9350000&tpi_r=2&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/202495489.webp?k=c7cd0910206e42d55733b8e7b1fcb8c034ec1338dccf9c527470399205d6f846&o=&s=1
부산,339,호텔 더 마크 해운대,https://www.booking.com/hotel/kr/the-mark-haeundae.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=d15b395f603b0249&srepoch=1645517376&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square200/165016092.webp?k=f9cbf39c9ca32d0d8df167fa495b352e6549e48d94def8b15b3898d15afae6f6&o=&s=1
부산,340,베니키아 호텔 해운대,https://www.booking.com/hotel/kr/benikea-haeundae.ko.html?label=gen173nr-1DCAEoggI46AdIM1gEaH2IAQGYARe4AQfIAQzYAQPoAQGIAgGoAgO4AryJ15AGwAIB0gIkMjBlZTIxYmItYTA1NC00ZGI1LTg0NDAtY2I0ZjBhZTI5ZTlm2AIE4AIB&sid=23113aa8bd3e0dca8422b951892f998c&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-23&checkout=2022-02-24&dest_id=1561167&dest_type=hotel&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=205426a20b530033&srepoch=1645594185&all_sr_blocks=156116706_288252087_0_0_0&highlighted_blocks=156116706_288252087_0_0_0&matching_block_id=156116706_288252087_0_0_0&sr_pri_blocks=156116706_288252087_0_0_0__5500000&tpi_r=2&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/242681355.webp?k=043ffb26b212afb1da57a3fea7f4535139f7114a6f8a4e93539023be8337d44b&o=&s=1
부산,341,호텔 벨리아,https://www.booking.com/hotel/kr/bellia-busan.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=d15b395f603b0249&srepoch=1645517376&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square200/295159517.webp?k=84a60e095941f33db0470a69a869a2596ca78690f28ab191a4a22ed0cafa46f0&o=&s=1
부산,342,베이몬드 호텔 해운대,https://www.booking.com/hotel/kr/beimondeu-baymond.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=37&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=d15b395f603b0249&srepoch=1645517376&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square200/177046394.webp?k=33f6e6c7494b759f7e3ce8203a04889a2ca1a9bf0aca97e8100d465fd8bd682f&o=&s=1
부산,343,파라곤호텔,https://www.booking.com/hotel/kr/paragon.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=d15b395f603b0249&srepoch=1645517376&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square200/14699426.webp?k=cd53fa829f552cd7a51a3906331d18aa7036c39b17413615a370ae23cebc1bd5&o=&s=1
부산,344,광안리 유토피아 관광 호텔,https://www.booking.com/hotel/kr/gwangalli-utopia.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=39&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=d15b395f603b0249&srepoch=1645517376&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square200/132864647.webp?k=af9598d57eebdfde3e6b856d9350ec1c05dc97d399c8fc32066ab011e6538537&o=&s=1
부산,346,토요코인 부산역1호점,https://www.booking.com/hotel/kr/toyoko-inn-busan-no-1.ko.html?label=bdot-P2XUozRl7Uj73QAuByfkUwS267777897793%3Apl%3Ata%3Ap1%3Ap22%2C563%2C000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-576851273475%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUlRwjG4dAJkHxCuUKVzpFo&sid=6501b31231a00a3035b564f903cd02d3&aid=376440&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=41&sr_order=popularity&nflt=class%3D3%3Bclass%3D5%3Bclass%3D4&srpvid=d15b395f603b0249&srepoch=1645517376&from=searchresults#hotelTmpl,https://t-cf.bstatic.com/xdata/images/hotel/square200/318134557.webp?k=b8a75a3bae87df4ac2cc3bc99e1a9ae8b472b39d11b9e52fd5301797ef695bd9&o=&s=1
부산,347,소르젠떼 비즈니스 호텔,https://www.booking.com/hotel/kr/sasang-brown-dot.ko.html?label=gen173nr-1DCAEoggI46AdIM1gEaH2IAQGYARe4AQfIAQzYAQPoAQGIAgGoAgO4AryJ15AGwAIB0gIkMjBlZTIxYmItYTA1NC00ZGI1LTg0NDAtY2I0ZjBhZTI5ZTlm2AIE4AIB&sid=23113aa8bd3e0dca8422b951892f998c&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-23&checkout=2022-02-24&dest_id=1898172&dest_type=hotel&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b96226d13e99016a&srepoch=1645594279&all_sr_blocks=189817213_335344562_0_1_0&highlighted_blocks=189817213_335344562_0_1_0&matching_block_id=189817213_335344562_0_1_0&sr_pri_blocks=189817213_335344562_0_1_0__6408000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/324373313.webp?k=b1abe5adcdce297c4c75d3014812574557f51b5c8814974fc0917acb7965e3ab&o=&s=1
부산,348,사우스 반데코 호텔,https://www.booking.com/hotel/kr/south-vandeco-busan.ko.html?label=gen173nr-1DCAEoggI46AdIM1gEaH2IAQGYARe4AQfIAQzYAQPoAQGIAgGoAgO4AryJ15AGwAIB0gIkMjBlZTIxYmItYTA1NC00ZGI1LTg0NDAtY2I0ZjBhZTI5ZTlm2AIE4AIB&sid=23113aa8bd3e0dca8422b951892f998c&aid=304142&ucfs=1&arphpl=1&checkin=2022-02-23&checkout=2022-02-24&dest_id=3587452&dest_type=hotel&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7a4e26e664a10014&srepoch=1645594322&all_sr_blocks=358745201_263751731_2_0_0&highlighted_blocks=358745201_263751731_2_0_0&matching_block_id=358745201_263751731_2_0_0&sr_pri_blocks=358745201_263751731_2_0_0__7000000&tpi_r=2&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/145616542.webp?k=9103223b0a5eb74771e27c73d82eccc15f0ceae3e02c5a57ca9914f6a9326222&o=&s=1
