word,value
쭈꾸미,192
나영석,110
고향,106
만남,99
이강인,99
스테이지,99
준비,99
실제,99
바다,99
김밥,99
진심,99
친구들,99
ㅋㅋ,99
고추,99
무엇,99
자기님,99
노제,99
승리,99
소개,99
라면,99
발견,99
회장,99
사람들,99
폭발,99
금수저,99
선수들,99
8강,99
윤상,96
강아지,96
고양,96
안녕,90
고양이,90
김장,90
댓글,90
낚시,90
편집,90
전설,90
남자,90
행복,90
MBTI,90
예능,90
감독,90
독일,90
친구,90
살림,90
메시,90
아무,90
도둑,90
인정,90
특별,90
태리,90
태양,90
외국,90
떡볶이,90
애정,90
응원,90
감자,90
이집,90
필요,90
공포,88
하나,86
등장,86
아이폰,86
양궁,86
무리,86
에이,86
시작,86
미래,77
아사,72
화장,71
아리,71
하늘,67
오늘,60
젝스,58
결혼,56
고기,56
모두,56
좋아,56
케미,56
아들,56
20년,56
부부,56
눈물,56
선물,56
히밥,56
초대,56
치킨,56
태연,56
장면,56
염혜,56
도쿄,56
동원,56
삼겹살,56
그녀,56
할아버지,56
유튜버,56
외국인,56
진돗개,56
100,56
히어로,54
김미경,54
합격,52
공중,50
지구,50
김호중,47
먹방,47
영상,46
겨울,46
일진,44
10,44
시원,44
아빠,44
얼굴,44
개막,44
주인,44
댄서,44
레시피,44
삼성,44
동물,44
간단,44
한글,44
촬영,44
기억,44
운동,44
여러분,44
형님,44
신유빈,44
최강,44
동생,44
오징어게임,43
이서,42
엄마,42
일본,42
마법,42
최고,42
김소,41
삼성전자,41
2차,39
게임,38
구미호,38
이별,37
공개,37
구글플레이,36
김연경,36
김동,36
서울,35
황태,35
이정재,35
아침,35
멤버들,35
결승전,35
양파,35
터키즈,35
어머니,35
계약,35
힐링,35
기적,35
짜릿,35
신혼집,35
이사,35
2주,35
장인,35
골프,35
신기,35
김제덕,35
극찬,35
고등학생,35
사이,35
해설,35
한번,35
대구,35
말씀,35
박진,35
따라,35
대학,35
시절,35
유리,35
루틴,35
숙소,35
설치,35
케인,35
1년,35
손녀,35
이해,35
폭염,35
마피아,34
이상,34
가능,34
가족,34
마술,34
하루,34
이란,34
데뷔,34
하하,34
영화,34
리뷰,34
꿀팁,34
이것,34
여성,34
김치,34
터키,34
추석,34
사람,33
카드,33
최초,33
여자,33
어린,32
볼만,32
무우,31
일상,30
골프강의,30
아이린,30
런던,30
처음,29
올림픽,28
방법,28
건강,27
카페,27
완벽,27
대통령,27
예고,27
목소리,27
1등,27
솔직,27
2년,27
무청,27
대화,27
전국,27
리정,27
그알,27
제주,27
세리,27
우정,27
김강,27
대표,27
선수,27
이주,27
아이유,27
지옥,27
한국인,27
유튜브,27
실체,27
연애,27
모니카,27
출산,27
신동,27
대파보관,26
구름,26
조승연,25
거침,25
엔조,25
이수,25
대한민국,24
요리,24
백종원,24
직장,24
손흥민,24
마지막,24
안무,23
유퀴즈,23
전지,21
제시,21
플레,20
위험,19
함께,19
김이,19
뭉땡,18
토트넘,17
슬기,17
해외,17
그레,17
시대,17
조규,17
남친,16
스파,16
축구,16
충격,16
스트,16
생각,16
여친,16
사랑,16
유미,16
알바,16
레트로,14
여름,14
우주,14
남편,14
당신,14
평가,14
런닝맨,14
배추김치,13
사나,13
무정,13
국가대표,13
인생,13
부추,13
이달,13
슈퍼맨,13
카레,13
토크,13
브이로그,13
새벽,13
유럽,12
16,12
배추,12
이하,12
고백,12
입덕,12
정리,12
가격,12
1억,12
소리,12
고부,12
가을,12
뱀파이어,12
프랑스,12
출연,12
여자친구,12
이벤트,12
실패,12
하다,12
구경,12
질문,12
사장님,12
여사친,12
양배추,12
개회식,12
오늘부,12
김종국,12
부모님,12
애호박,12
립제이,12
나이,12
전세계,12
김선호,12
선생님,12
아내,12
전여친,12
허니제,12
현지,12
영국,12
남자친구,12
1차,12
마음,12
채널,12
쭈엽,12
하영,12
상어,12
자동,12
제보,12
자랑,12
결승,12
세상,12
황의조,12
오리,12
언니,12
성대,11
야식,11
가짜사나이,9
멕시코,8
김다,7
핫도그,7
강호,7
말년,5
대박,5
호랑,5
브람스,5
그것,4
강력,2
택시,2
수제,2
애호,1
