word,value
쿠지라,40
아이유,40
대학,40
분노,39
시작,39
수비,39
여신,39
남자친구,39
구독자,39
준비,39
부자,39
카페,39
얼굴,39
가수,39
4년,39
실패,39
지옥,39
대위,39
다음,39
정리,39
오픈,39
어디,39
1년,39
마술,39
성공,39
광화문,39
멤버들,39
조규,39
김다현,39
김동,39
유명,39
옥택연,39
추천,39
여사친,39
캐릭터,39
플레이,39
퀴즈,39
알바,39
시장,39
50,39
오리,39
문제,39
박준형,39
이정,39
이강,39
숙소,39
이무진,39
TV조선,39
반려견,39
시골,39
포기,39
극찬,39
PD,39
무리뉴,39
현주엽,39
장민호,39
마지막,39
김하성,39
김어준,37
슈퍼맨,35
다이어트,35
요리,35
등장,35
유기견,35
볼만,33
장영,33
이상,33
예능,33
다혜,33
스파,32
스페셜,32
쭈엽,32
윤성,32
감독,32
머니게임,32
프레,32
김기,32
맨시티,31
생존,31
성대,31
노래,31
신비,30
환상,30
만남,30
데뷔,30
이근,30
황의조,30
해외,30
제시,30
선생님,30
무엇,30
이번,30
해야,30
현대차,30
축구,30
발표,30
자동,30
선수,30
그대,30
최후,30
TV,30
라디오,30
아내,30
아직,30
현대,30
있지,30
태풍,30
박수,30
전쟁,30
질문,30
싸움,30
참교육,30
이혼,30
오세,30
정브,30
메이저리,29
레트,29
대결,29
차기,29
청년,29
스트,29
촛불,29
모범,29
주의,29
오영,29
다방,29
작사,29
부추,29
스마트,28
조승연,28
핫도,27
걱정,27
상추,27
그것,27
1초,27
고향,27
기대,27
박스,27
바다,27
경의,27
독립,27
동거,27
트럭,27
유럽,27
전략,27
'나,27
오해,27
매운,26
말년,26
이하,25
쌍둥,25
떡볶,25
오늘부,25
할머니,25
태양,25
대한민국,25
프렌,25
고양,25
대박,25
대반,25
수학,25
김다,25
치킨,25
드림,25
플레,25
성훈,25
첫사,25
귀신,25
애니,24
지구,24
폭발,24
안녕,24
중국,24
나훈아,24
염승환,24
백현,24
우리,24
이거,24
이채,21
냥냥,21
등산,21
뉴트,21
일용,21
이별,20
주식강,18
김미경강,18
에스케,18
어드벤,18
애호박,18
