word,value
딘딘,273
역사,196
노래,196
강아지,196
여자,157
건강,157
최초,157
이슈,157
손흥민,152
영상,146
공개,146
귀족,116
진돗개,116
기자,116
정인이,116
김광,116
무한상사,116
세계,116
소문,116
완벽,116
동물,116
지옥,116
멤버들,116
야구,116
중국,116
정동원,116
22,116
최고,116
펭수,116
짜장,116
사유리,116
만남,116
팬들,116
당황,116
소금,116
경악,116
미국,116
케미,116
모두,116
소리,116
운동,116
미녀,116
충격,108
2021년,108
김수,108
사랑,108
박진,108
궁금,99
무우,99
말년,99
꼬꼬,99
잔멸,99
우리,98
정리,86
미모,86
애플,86
현대차,86
'리,86
해외,86
주목,86
사람들,86
전세계,86
스테이크,86
조병규,86
수상,86
차이,86
지구,86
이지아,86
김태연,86
영어,86
송가인,86
분노,86
수육,86
이하,86
신들,86
고발,86
혼자,86
데뷔,86
승자,86
그만,86
감독,86
과거,86
성능,86
승우아빠,86
복수,86
유아,86
아이유,84
연극,79
김기,79
신혜선,74
크리,71
백종원,67
지원,65
엄마,65
크리스마스,65
에이,65
오리,65
먹방,62
강호,60
엔조,60
김정,59
일본,56
부부,56
리얼,56
등장,56
한국,56
시작,56
가수,56
디스,56
국민,53
120,52
스위,52
김치,52
개미,52
음악,52
바다,49
고양이,49
필요,49
안무,49
감사,49
경이,49
친구,49
결혼,49
급락,49
김두,49
트럭,49
전화,49
얼굴,49
천재,49
무모,49
게임,49
박지,49
때문,49
영탁,49
삼성,49
예능,49
전설,49
일본인,49
다이어트,49
마술,49
남자,49
미래,49
시간,49
러시아,49
위험,49
눈길,49
남자친구,49
겨울,48
히밥,45
가능,44
이번,44
머리,44
모델,44
일진,44
김선호,44
여러분,44
국내,44
걱정,44
김장,44
준비,44
차장,44
두부,44
그녀,44
눈물,44
댄스,44
영화,44
순두부,43
프로,42
치킨,42
아내,42
플레,42
사건,42
몰카,40
김준,40
손흥민,40
스카,40
현대,39
삼프,38
홍보,36
추억,36
입담,36
작곡,36
런웨,36
희망,36
생리,36
레트로,36
사람,36
반전,35
아이돌,35
외국인,35
소개팅,35
무리뉴,35
아빠,35
이상,35
연습,35
깻잎,35
가족,35
명절,35
요리,35
제시,35
세상,35
1년,35
당신,35
이것,35
솔직,35
고양이,34
어서,34
무대,34
라이브,33
추미애,31
뮤비,30
아스날,30
베트남,30
박용,30
방송사고,30
작가,30
저희,30
폐급,30
전무,30
자세,30
메시지,30
삼성전자,30
10년,30
목소리,30
저격,30
최악,30
김장김치,30
최대,30
응원,30
연기,30
36,30
안전,30
선수,30
현장,30
나이,30
이뿌,30
애들,30
감동,30
제보,30
주말,30
부모님,30
릴레,30
촬영,30
가슴,30
극찬,30
김도,30
'나,30
고민,30
9개월,30
100,30
새우,30
곱창,30
언제,30
나라,30
오징어,30
직장,30
북한,30
드라마,30
조정,30
폐가,30
폭락,30
가게,30
주단,30
회장,30
삼촌,30
소식,30
깡통,30
유퀴즈,30
와이프,30
강문경,30
주인,30
코로나,30
의사,30
교관,30
생명,30
폭설,30
남친,30
정인,29
그것,29
멤버,29
제주,29
길냥이,29
토트넘,29
무리,29
간장멸,29
실패,28
아들,28
듣기,28
처음,28
계란,28
가난,28
악마,28
자연,28
아리,28
행복,28
자산,28
가요대,28
아이들,28
운전,28
남편,28
파리,28
수빙수,28
휴가,28
알바,28
대박,27
김동,27
볼만,26
트위,26
젝스,26
스트,26
슈퍼맨,26
함께,25
임영웅,25
김다,25
떡볶,23
누구,21
신동,21
한국인,21
태풍,21
레전드,21
설기,20
구미호,20
데이트,18
신기,17
1차,17
핫도,17
하나,17
라면,17
대학,16
매운,16
무엇,16
현아,16
싸움,15
간단,14
마음,14
쉽게,14
고백,14
서로,14
부추,14
하루,14
음식,14
새해,14
모습,14
비밀,14
좋아,14
탁재훈,14
참교육,14
여자친구,14
신사,14
대화,14
상황,14
메이저리,13
투자,12
폭발,12
부장,12
결과,12
추천,12
쭈엽,12
아버지,12
실제,12
선물,12
전자,12
행동,12
메이플,12
상대,11
사용,11
식사,11
1000,11
KBS,11
트롯,11
슈카,11
카메라,11
어떡,11
이용,11
생각,11
정신,11
특별,11
스테,11
지갑,11
본인,11
이채,11
코로나변,10
진성호,10
임재,9
아스트,9
분홍,9
트롯신,8
길고양,8
고소,8
이현,8
조승연,7
비디오,7
이글,7
신생아,7
새벽,7
진솔,7
2020가요대,7
김미경강,6
삼성전자주,6
2020SBS가요대,6
바이오주,5
히어,4
1호,4
감자,3
